EmpCode,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,Success (Y),Tried (E),Not Tried (N)
904898,10:23 - 17:14,N,10:07 - 17:03,10:00 - 17:02,10:02 - 16:52,N,N,10:08 - 17:06,N,10:07 - 17:07,10:04 - 17:02,10:13 - 17:06,14:06 - 16:57,10:13 - 17:05,10:23 - 17:17,N,10:01 - 17:20,10:16 - 17:38,09:54 - 18:06,10:17 - 17:19,N,10:22 - 16:50,N,09:56 - 16:58,10:17 - 17:00,N,10:11 - 17:07,N,10:30 - 17:33,20,0,9
515103,09:04 - 15:59,N,08:44 - 16:32,10:05 - 16:33,08:09 - 15:15,09:26 - 16:33,10:08 - 16:33,09:32 - 16:22,N,09:04 - 16:20,09:09 - 16:29,08:31 - 15:01,09:58 - 16:45,N,09:13 - 16:37,N,08:56 - 16:32,09:12 - 16:38,08:31 - 15:24,09:22 - 16:38,N,09:12 - 16:41,N,09:06 - 16:14,09:23 - 16:29,07:59 - 15:23,09:00 - 16:33,09:07 - 16:33,09:16 - 16:42,23,0,6
491943,N,N,08:03 - 14:59,09:45 - 16:02,08:05 - 16:44,09:31 - 16:17,09:39 - 16:32,09:31 - 16:44,N,09:36 - 16:18,N,09:36 - 12:55,09:25 - 15:58,08:09 - 14:58,09:38 - 16:30,N,08:02 - 14:56,09:47 - 16:18,08:05 - 14:55,09:39 - 16:42,N,09:36 - 16:36,N,08:19 - 14:56,09:29 - 16:04,08:03 - 16:37,09:52 - 15:00,08:04 - 16:33,09:33 - 16:40,22,0,7
750173,N,N,09:46 - 16:57,08:24 - 15:18,09:45 - 16:49,08:26 - 15:48,08:28 - 15:14,08:35 - 17:02,N,09:39 - 16:45,09:52 - 15:38,09:49 - 16:48,08:24 - 15:05,09:34 - 00:00,09:48 - 16:45,N,11:48 - 16:51,08:24 - 15:03,09:34 - 17:01,08:13 - 15:10,N,09:40 - 17:22,N,N,08:19 - 15:02,09:41 - 16:47,08:24 - 15:02,09:32 - 13:54,09:50 - 16:47,22,0,7
687017,09:51 - 16:41,N,09:58 - 16:50,09:45 - 16:48,N,09:55 - 15:12,09:50 - 16:29,N,N,N,11:41 - 16:46,09:50 - 16:36,09:46 - 16:46,09:55 - 16:45,09:43 - 16:39,N,09:50 - 16:49,09:52 - 16:45,09:50 - 17:12,09:30 - 16:53,N,09:50 - 15:35,N,09:47 - 16:48,09:50 - 16:44,09:48 - 16:43,09:47 - 16:48,09:46 - 16:49,09:47 - 16:49,21,0,8
241882,09:33 - 18:02,N,09:51 - 17:43,09:26 - 16:45,09:46 - 17:49,09:20 - 16:46,09:45 - 19:11,09:32 - 17:15,N,09:30 - 17:28,09:53 - 17:04,N,09:38 - 17:44,09:35 - 17:19,09:31 - 17:09,N,08:58 - 17:20,09:42 - 17:33,09:11 - 17:13,09:43 - 18:26,N,09:35 - 17:44,N,09:28 - 18:29,09:38 - 18:20,08:59 - 18:29,09:40 - 17:48,09:35 - 18:26,09:26 - 18:56,23,0,6
758872,09:40 - 16:42,N,09:36 - 16:41,09:34 - 16:44,09:41 - 16:41,09:44 - 16:44,08:07 - 14:58,N,N,N,09:47 - 16:42,09:41 - 16:30,09:37 - 16:29,09:49 - 16:25,09:44 - 16:42,N,08:16 - 15:01,09:44 - 16:35,09:42 - 16:41,09:44 - 16:41,N,09:43 - 16:41,N,08:10 - 14:59,N,N,12:42 - 16:44,09:39 - 16:28,09:37 - 16:41,20,0,9
940922,09:50 - 17:00,N,09:45 - 16:55,09:43 - 17:00,09:37 - 16:48,09:49 - 00:00,N,09:45 - 15:46,N,09:42 - 16:43,09:58 - 16:51,09:51 - 16:41,10:53 - 18:04,09:53 - 17:32,09:53 - 16:24,N,09:51 - 17:44,09:54 - 17:30,09:48 - 00:00,09:39 - 00:00,N,09:47 - 16:59,N,09:51 - 00:00,09:51 - 17:31,08:50 - 00:00,08:53 - 17:44,09:02 - 17:46,09:42 - 00:00,23,0,6
917937,09:47 - 17:34,N,09:50 - 17:00,09:48 - 17:04,09:48 - 16:50,09:48 - 16:53,09:47 - 16:39,09:43 - 16:48,N,09:48 - 16:38,09:55 - 16:48,09:46 - 16:38,09:48 - 16:48,09:45 - 00:00,09:48 - 00:00,N,09:48 - 16:44,N,09:59 - 16:39,09:50 - 16:48,N,N,N,09:47 - 16:55,09:49 - 16:47,09:48 - 16:48,09:48 - 16:48,09:48 - 16:36,N,21,0,8
917395,08:13 - 16:32,N,08:08 - 16:36,08:16 - 16:32,08:29 - 16:09,08:18 - 16:25,08:35 - 16:26,08:34 - 16:34,N,08:32 - 16:25,08:49 - 16:34,08:34 - 16:30,08:31 - 16:26,08:34 - 16:28,08:07 - 16:54,N,07:58 - 16:33,08:08 - 16:28,08:46 - 16:25,08:23 - 16:43,N,08:38 - 16:34,N,08:10 - 16:55,08:23 - 16:52,08:34 - 16:23,08:23 - 16:47,08:07 - 16:48,08:25 - 16:22,24,0,5
